structure,total,inUse,free,time
Liberty Square (Tally Hall),540.0,239.0,301.0,1670875626.4571996
Ann Ashley,811.0,348.0,463.0,1670875626.4571996
South Ashley (Kline Lot),143.0,47.0,96.0,1670875626.4571996
4th & William,960.0,245.0,715.0,1670875626.4571996
4th & Wash.,270.0,208.0,62.0,1670875626.4571996
1st & Wash.,243.0,90.0,153.0,1670875626.4571996
1st and William,110.0,0.0,110.0,1670879227.4437628
Library Lane,744.0,171.0,573.0,1670879227.4437628
Maynard,791.0,299.0,492.0,1670879227.4437628
Forest Garage,853.0,442.0,411.0,1670879227.4437628
Liberty Square (Tally Hall),540.0,239.0,301.0,1670879227.4437628
Ann Ashley,811.0,348.0,463.0,1670879227.4437628
South Ashley (Kline Lot),143.0,47.0,96.0,1670879227.4437628
4th & William,960.0,245.0,715.0,1670879227.4437628
4th & Wash.,270.0,208.0,62.0,1670879227.4437628
1st & Wash.,243.0,90.0,153.0,1670879227.4437628
1st and William,110.0,0.0,110.0,1670882829.3841133
Library Lane,744.0,121.0,623.0,1670882829.3841133
Maynard,791.0,285.0,506.0,1670882829.3841133
Forest Garage,853.0,315.0,538.0,1670882829.3841133
Liberty Square (Tally Hall),540.0,190.0,350.0,1670882829.3841133
Ann Ashley,811.0,169.0,642.0,1670882829.3841133
South Ashley (Kline Lot),143.0,31.0,112.0,1670882829.3841133
4th & William,960.0,158.0,802.0,1670882829.3841133
4th & Wash.,270.0,127.0,143.0,1670882829.3841133
1st & Wash.,243.0,86.0,157.0,1670882829.3841133
1st and William,110.0,0.0,110.0,1670886426.6180131
Library Lane,744.0,121.0,623.0,1670886426.6180131
Maynard,791.0,285.0,506.0,1670886426.6180131
Forest Garage,853.0,315.0,538.0,1670886426.6180131
Liberty Square (Tally Hall),540.0,190.0,350.0,1670886426.6180131
Ann Ashley,811.0,169.0,642.0,1670886426.6180131
South Ashley (Kline Lot),143.0,31.0,112.0,1670886426.6180131
4th & William,960.0,158.0,802.0,1670886426.6180131
4th & Wash.,270.0,127.0,143.0,1670886426.6180131
1st & Wash.,243.0,86.0,157.0,1670886426.6180131
1st and William,110.0,0.0,110.0,1670890031.7770944
Library Lane,744.0,121.0,623.0,1670890031.7770944
Maynard,791.0,285.0,506.0,1670890031.7770944
Forest Garage,853.0,315.0,538.0,1670890031.7770944
Liberty Square (Tally Hall),540.0,190.0,350.0,1670890031.7770944
Ann Ashley,811.0,169.0,642.0,1670890031.7770944
South Ashley (Kline Lot),143.0,31.0,112.0,1670890031.7770944
4th & William,960.0,158.0,802.0,1670890031.7770944
4th & Wash.,270.0,127.0,143.0,1670890031.7770944
1st & Wash.,243.0,86.0,157.0,1670890031.7770944
1st and William,110.0,0.0,110.0,1670893627.426182
Library Lane,744.0,121.0,623.0,1670893627.426182
Maynard,791.0,285.0,506.0,1670893627.426182
Forest Garage,853.0,315.0,538.0,1670893627.426182
Liberty Square (Tally Hall),540.0,190.0,350.0,1670893627.426182
Ann Ashley,811.0,169.0,642.0,1670893627.426182
South Ashley (Kline Lot),143.0,31.0,112.0,1670893627.426182
4th & William,960.0,158.0,802.0,1670893627.426182
4th & Wash.,270.0,127.0,143.0,1670893627.426182
1st & Wash.,243.0,86.0,157.0,1670893627.426182
1st and William,110.0,0.0,110.0,1670897229.998179
Library Lane,744.0,65.0,679.0,1670897229.998179
Maynard,791.0,213.0,578.0,1670897229.998179
Forest Garage,853.0,199.0,654.0,1670897229.998179
Liberty Square (Tally Hall),540.0,127.0,413.0,1670897229.998179
Ann Ashley,811.0,56.0,755.0,1670897229.998179
South Ashley (Kline Lot),143.0,21.0,122.0,1670897229.998179
4th & William,960.0,89.0,871.0,1670897229.998179
4th & Wash.,270.0,73.0,197.0,1670897229.998179
1st & Wash.,243.0,243.0,0.0,1670897229.998179
1st and William,110.0,0.0,110.0,1670900826.8480096
Library Lane,744.0,65.0,679.0,1670900826.8480096
Maynard,791.0,213.0,578.0,1670900826.8480096
Forest Garage,853.0,199.0,654.0,1670900826.8480096
Liberty Square (Tally Hall),540.0,127.0,413.0,1670900826.8480096
Ann Ashley,811.0,56.0,755.0,1670900826.8480096
South Ashley (Kline Lot),143.0,21.0,122.0,1670900826.8480096
4th & William,960.0,89.0,871.0,1670900826.8480096
4th & Wash.,270.0,73.0,197.0,1670900826.8480096
1st & Wash.,243.0,243.0,0.0,1670900826.8480096
1st and William,110.0,0.0,110.0,1670904427.699173
Library Lane,744.0,65.0,679.0,1670904427.699173
Maynard,791.0,213.0,578.0,1670904427.699173
Forest Garage,853.0,199.0,654.0,1670904427.699173
Liberty Square (Tally Hall),540.0,127.0,413.0,1670904427.699173
Ann Ashley,811.0,56.0,755.0,1670904427.699173
South Ashley (Kline Lot),143.0,21.0,122.0,1670904427.699173
4th & William,960.0,89.0,871.0,1670904427.699173
4th & Wash.,270.0,73.0,197.0,1670904427.699173
1st & Wash.,243.0,243.0,0.0,1670904427.699173
1st and William,110.0,0.0,110.0,1670908027.105686
Library Lane,744.0,65.0,679.0,1670908027.105686
Maynard,791.0,213.0,578.0,1670908027.105686
Forest Garage,853.0,199.0,654.0,1670908027.105686
Liberty Square (Tally Hall),540.0,127.0,413.0,1670908027.105686
Ann Ashley,811.0,56.0,755.0,1670908027.105686
South Ashley (Kline Lot),143.0,21.0,122.0,1670908027.105686
4th & William,960.0,89.0,871.0,1670908027.105686
4th & Wash.,270.0,73.0,197.0,1670908027.105686
1st & Wash.,243.0,243.0,0.0,1670908027.105686
1st and William,110.0,0.0,110.0,1670911628.8521888
Library Lane,744.0,60.0,684.0,1670911628.8521888
Maynard,791.0,109.0,682.0,1670911628.8521888
Forest Garage,853.0,170.0,683.0,1670911628.8521888
Liberty Square (Tally Hall),540.0,71.0,469.0,1670911628.8521888
Ann Ashley,811.0,46.0,765.0,1670911628.8521888
South Ashley (Kline Lot),143.0,3.0,140.0,1670911628.8521888
4th & William,960.0,51.0,909.0,1670911628.8521888
4th & Wash.,270.0,50.0,220.0,1670911628.8521888
1st & Wash.,243.0,243.0,0.0,1670911628.8521888
1st and William,110.0,0.0,110.0,1670915227.8033254
Library Lane,744.0,60.0,684.0,1670915227.8033254
Maynard,791.0,109.0,682.0,1670915227.8033254
Forest Garage,853.0,170.0,683.0,1670915227.8033254
Liberty Square (Tally Hall),540.0,71.0,469.0,1670915227.8033254
Ann Ashley,811.0,46.0,765.0,1670915227.8033254
South Ashley (Kline Lot),143.0,3.0,140.0,1670915227.8033254
4th & William,960.0,51.0,909.0,1670915227.8033254
4th & Wash.,270.0,50.0,220.0,1670915227.8033254
1st & Wash.,243.0,243.0,0.0,1670915227.8033254
1st and William,110.0,0.0,110.0,1670918830.0978148
Library Lane,744.0,60.0,684.0,1670918830.0978148
Maynard,791.0,109.0,682.0,1670918830.0978148
Forest Garage,853.0,170.0,683.0,1670918830.0978148
Liberty Square (Tally Hall),540.0,71.0,469.0,1670918830.0978148
Ann Ashley,811.0,46.0,765.0,1670918830.0978148
South Ashley (Kline Lot),143.0,3.0,140.0,1670918830.0978148
4th & William,960.0,51.0,909.0,1670918830.0978148
4th & Wash.,270.0,50.0,220.0,1670918830.0978148
1st & Wash.,243.0,243.0,0.0,1670918830.0978148
1st and William,110.0,0.0,110.0,1670922430.5842109
Library Lane,744.0,58.0,686.0,1670922430.5842109
Maynard,791.0,79.0,712.0,1670922430.5842109
Forest Garage,853.0,155.0,698.0,1670922430.5842109
Liberty Square (Tally Hall),540.0,54.0,486.0,1670922430.5842109
Ann Ashley,811.0,28.0,783.0,1670922430.5842109
South Ashley (Kline Lot),143.0,0.0,143.0,1670922430.5842109
4th & William,960.0,52.0,908.0,1670922430.5842109
4th & Wash.,270.0,48.0,222.0,1670922430.5842109
1st & Wash.,243.0,243.0,0.0,1670922430.5842109
1st and William,110.0,0.0,110.0,1670926026.9283574
Library Lane,744.0,58.0,686.0,1670926026.9283574
Maynard,791.0,79.0,712.0,1670926026.9283574
Forest Garage,853.0,155.0,698.0,1670926026.9283574
Liberty Square (Tally Hall),540.0,54.0,486.0,1670926026.9283574
Ann Ashley,811.0,28.0,783.0,1670926026.9283574
South Ashley (Kline Lot),143.0,0.0,143.0,1670926026.9283574
4th & William,960.0,52.0,908.0,1670926026.9283574
4th & Wash.,270.0,48.0,222.0,1670926026.9283574
1st & Wash.,243.0,243.0,0.0,1670926026.9283574
1st and William,110.0,0.0,110.0,1670929628.834325
Library Lane,744.0,58.0,686.0,1670929628.834325
Maynard,791.0,79.0,712.0,1670929628.834325
Forest Garage,853.0,155.0,698.0,1670929628.834325
Liberty Square (Tally Hall),540.0,54.0,486.0,1670929628.834325
Ann Ashley,811.0,28.0,783.0,1670929628.834325
South Ashley (Kline Lot),143.0,0.0,143.0,1670929628.834325
4th & William,960.0,52.0,908.0,1670929628.834325
4th & Wash.,270.0,48.0,222.0,1670929628.834325
1st & Wash.,243.0,243.0,0.0,1670929628.834325
1st and William,110.0,0.0,110.0,1670933228.908557
Library Lane,744.0,58.0,686.0,1670933228.908557
Maynard,791.0,79.0,712.0,1670933228.908557
Forest Garage,853.0,155.0,698.0,1670933228.908557
Liberty Square (Tally Hall),540.0,54.0,486.0,1670933228.908557
Ann Ashley,811.0,28.0,783.0,1670933228.908557
South Ashley (Kline Lot),143.0,0.0,143.0,1670933228.908557
4th & William,960.0,52.0,908.0,1670933228.908557
4th & Wash.,270.0,48.0,222.0,1670933228.908557
1st & Wash.,243.0,243.0,0.0,1670933228.908557
1st and William,110.0,0.0,110.0,1670936831.3804266
Library Lane,744.0,83.0,661.0,1670936831.3804266
Maynard,791.0,113.0,678.0,1670936831.3804266
Forest Garage,853.0,240.0,613.0,1670936831.3804266
Liberty Square (Tally Hall),540.0,124.0,416.0,1670936831.3804266
Ann Ashley,811.0,179.0,632.0,1670936831.3804266
South Ashley (Kline Lot),143.0,5.0,138.0,1670936831.3804266
4th & William,960.0,94.0,866.0,1670936831.3804266
4th & Wash.,270.0,62.0,208.0,1670936831.3804266
1st & Wash.,243.0,243.0,0.0,1670936831.3804266
1st and William,110.0,0.0,110.0,1670940427.9717376
Library Lane,744.0,83.0,661.0,1670940427.9717376
Maynard,791.0,113.0,678.0,1670940427.9717376
Forest Garage,853.0,240.0,613.0,1670940427.9717376
Liberty Square (Tally Hall),540.0,124.0,416.0,1670940427.9717376
Ann Ashley,811.0,179.0,632.0,1670940427.9717376
South Ashley (Kline Lot),143.0,5.0,138.0,1670940427.9717376
4th & William,960.0,94.0,866.0,1670940427.9717376
4th & Wash.,270.0,62.0,208.0,1670940427.9717376
1st & Wash.,243.0,243.0,0.0,1670940427.9717376
1st and William,110.0,0.0,110.0,1670944027.8008988
Library Lane,744.0,83.0,661.0,1670944027.8008988
Maynard,791.0,113.0,678.0,1670944027.8008988
Forest Garage,853.0,240.0,613.0,1670944027.8008988
Liberty Square (Tally Hall),540.0,124.0,416.0,1670944027.8008988
Ann Ashley,811.0,179.0,632.0,1670944027.8008988
South Ashley (Kline Lot),143.0,5.0,138.0,1670944027.8008988
4th & William,960.0,94.0,866.0,1670944027.8008988
4th & Wash.,270.0,62.0,208.0,1670944027.8008988
1st & Wash.,243.0,243.0,0.0,1670944027.8008988
1st and William,110.0,0.0,110.0,1670947631.2953792
Library Lane,744.0,83.0,661.0,1670947631.2953792
Maynard,791.0,113.0,678.0,1670947631.2953792
Forest Garage,853.0,240.0,613.0,1670947631.2953792
Liberty Square (Tally Hall),540.0,124.0,416.0,1670947631.2953792
Ann Ashley,811.0,179.0,632.0,1670947631.2953792
South Ashley (Kline Lot),143.0,5.0,138.0,1670947631.2953792
4th & William,960.0,94.0,866.0,1670947631.2953792
4th & Wash.,270.0,62.0,208.0,1670947631.2953792
1st & Wash.,243.0,243.0,0.0,1670947631.2953792
1st and William,110.0,0.0,110.0,1670951230.681577
Library Lane,744.0,176.0,568.0,1670951230.681577
Maynard,791.0,398.0,393.0,1670951230.681577
Forest Garage,853.0,435.0,418.0,1670951230.681577
Liberty Square (Tally Hall),540.0,261.0,279.0,1670951230.681577
Ann Ashley,811.0,393.0,418.0,1670951230.681577
South Ashley (Kline Lot),143.0,60.0,83.0,1670951230.681577
4th & William,960.0,252.0,708.0,1670951230.681577
4th & Wash.,270.0,208.0,62.0,1670951230.681577
1st & Wash.,243.0,78.0,165.0,1670951230.681577
1st and William,110.0,0.0,110.0,1670954828.6851141
Library Lane,744.0,176.0,568.0,1670954828.6851141
Maynard,791.0,398.0,393.0,1670954828.6851141
Forest Garage,853.0,435.0,418.0,1670954828.6851141
Liberty Square (Tally Hall),540.0,261.0,279.0,1670954828.6851141
Ann Ashley,811.0,393.0,418.0,1670954828.6851141
South Ashley (Kline Lot),143.0,60.0,83.0,1670954828.6851141
4th & William,960.0,252.0,708.0,1670954828.6851141
4th & Wash.,270.0,208.0,62.0,1670954828.6851141
1st & Wash.,243.0,78.0,165.0,1670954828.6851141
1st and William,110.0,0.0,110.0,1670958428.0300195
Library Lane,744.0,176.0,568.0,1670958428.0300195
Maynard,791.0,398.0,393.0,1670958428.0300195
Forest Garage,853.0,435.0,418.0,1670958428.0300195
Liberty Square (Tally Hall),540.0,261.0,279.0,1670958428.0300195
Ann Ashley,811.0,393.0,418.0,1670958428.0300195
South Ashley (Kline Lot),143.0,60.0,83.0,1670958428.0300195
4th & William,960.0,252.0,708.0,1670958428.0300195
4th & Wash.,270.0,208.0,62.0,1670958428.0300195
1st & Wash.,243.0,78.0,165.0,1670958428.0300195
1st and William,110.0,0.0,110.0,1670962027.584748
Library Lane,744.0,176.0,568.0,1670962027.584748
Maynard,791.0,398.0,393.0,1670962027.584748
Forest Garage,853.0,435.0,418.0,1670962027.584748
Liberty Square (Tally Hall),540.0,261.0,279.0,1670962027.584748
Ann Ashley,811.0,393.0,418.0,1670962027.584748
South Ashley (Kline Lot),143.0,60.0,83.0,1670962027.584748
4th & William,960.0,252.0,708.0,1670962027.584748
4th & Wash.,270.0,208.0,62.0,1670962027.584748
1st & Wash.,243.0,78.0,165.0,1670962027.584748
1st and William,110.0,0.0,110.0,1670965628.0421221
Library Lane,744.0,170.0,574.0,1670965628.0421221
Maynard,791.0,349.0,442.0,1670965628.0421221
Forest Garage,853.0,406.0,447.0,1670965628.0421221
Liberty Square (Tally Hall),540.0,260.0,280.0,1670965628.0421221
Ann Ashley,811.0,348.0,463.0,1670965628.0421221
South Ashley (Kline Lot),143.0,69.0,74.0,1670965628.0421221
4th & William,960.0,243.0,717.0,1670965628.0421221
4th & Wash.,270.0,207.0,63.0,1670965628.0421221
1st & Wash.,243.0,81.0,162.0,1670965628.0421221
1st and William,110.0,0.0,110.0,1670969227.5654905
Library Lane,744.0,170.0,574.0,1670969227.5654905
Maynard,791.0,349.0,442.0,1670969227.5654905
Forest Garage,853.0,406.0,447.0,1670969227.5654905
Liberty Square (Tally Hall),540.0,260.0,280.0,1670969227.5654905
Ann Ashley,811.0,348.0,463.0,1670969227.5654905
South Ashley (Kline Lot),143.0,69.0,74.0,1670969227.5654905
4th & William,960.0,243.0,717.0,1670969227.5654905
4th & Wash.,270.0,207.0,63.0,1670969227.5654905
1st & Wash.,243.0,81.0,162.0,1670969227.5654905
1st and William,110.0,0.0,110.0,1670972828.4294953
Library Lane,744.0,170.0,574.0,1670972828.4294953
Maynard,791.0,349.0,442.0,1670972828.4294953
Forest Garage,853.0,406.0,447.0,1670972828.4294953
Liberty Square (Tally Hall),540.0,260.0,280.0,1670972828.4294953
Ann Ashley,811.0,348.0,463.0,1670972828.4294953
South Ashley (Kline Lot),143.0,69.0,74.0,1670972828.4294953
4th & William,960.0,243.0,717.0,1670972828.4294953
4th & Wash.,270.0,207.0,63.0,1670972828.4294953
1st & Wash.,243.0,81.0,162.0,1670972828.4294953
1st and William,110.0,0.0,110.0,1670976435.0499845
Library Lane,744.0,88.0,656.0,1670976435.0499845
Maynard,791.0,327.0,464.0,1670976435.0499845
Forest Garage,853.0,217.0,636.0,1670976435.0499845
Liberty Square (Tally Hall),540.0,159.0,381.0,1670976435.0499845
Ann Ashley,811.0,69.0,742.0,1670976435.0499845
South Ashley (Kline Lot),143.0,104.0,39.0,1670976435.0499845
4th & William,960.0,233.0,727.0,1670976435.0499845
4th & Wash.,270.0,158.0,112.0,1670976435.0499845
1st & Wash.,243.0,243.0,0.0,1670976435.0499845
1st and William,110.0,0.0,110.0,1670980026.2682128
Library Lane,744.0,88.0,656.0,1670980026.2682128
Maynard,791.0,327.0,464.0,1670980026.2682128
Forest Garage,853.0,217.0,636.0,1670980026.2682128
Liberty Square (Tally Hall),540.0,159.0,381.0,1670980026.2682128
Ann Ashley,811.0,69.0,742.0,1670980026.2682128
South Ashley (Kline Lot),143.0,104.0,39.0,1670980026.2682128
4th & William,960.0,233.0,727.0,1670980026.2682128
4th & Wash.,270.0,158.0,112.0,1670980026.2682128
1st & Wash.,243.0,243.0,0.0,1670980026.2682128
1st and William,110.0,0.0,110.0,1670983633.6322017
Library Lane,744.0,88.0,656.0,1670983633.6322017
Maynard,791.0,327.0,464.0,1670983633.6322017
Forest Garage,853.0,217.0,636.0,1670983633.6322017
Liberty Square (Tally Hall),540.0,159.0,381.0,1670983633.6322017
Ann Ashley,811.0,69.0,742.0,1670983633.6322017
South Ashley (Kline Lot),143.0,104.0,39.0,1670983633.6322017
4th & William,960.0,233.0,727.0,1670983633.6322017
4th & Wash.,270.0,158.0,112.0,1670983633.6322017
1st & Wash.,243.0,243.0,0.0,1670983633.6322017
1st and William,110.0,0.0,110.0,1670987226.6647527
Library Lane,744.0,88.0,656.0,1670987226.6647527
Maynard,791.0,327.0,464.0,1670987226.6647527
Forest Garage,853.0,217.0,636.0,1670987226.6647527
Liberty Square (Tally Hall),540.0,159.0,381.0,1670987226.6647527
Ann Ashley,811.0,69.0,742.0,1670987226.6647527
South Ashley (Kline Lot),143.0,104.0,39.0,1670987226.6647527
4th & William,960.0,233.0,727.0,1670987226.6647527
4th & Wash.,270.0,158.0,112.0,1670987226.6647527
1st & Wash.,243.0,243.0,0.0,1670987226.6647527
1st and William,110.0,0.0,110.0,1670990828.8588526
Library Lane,744.0,57.0,687.0,1670990828.8588526
Maynard,791.0,90.0,701.0,1670990828.8588526
Forest Garage,853.0,167.0,686.0,1670990828.8588526
Liberty Square (Tally Hall),540.0,63.0,477.0,1670990828.8588526
Ann Ashley,811.0,38.0,773.0,1670990828.8588526
South Ashley (Kline Lot),143.0,8.0,135.0,1670990828.8588526
4th & William,960.0,63.0,897.0,1670990828.8588526
4th & Wash.,270.0,59.0,211.0,1670990828.8588526
1st & Wash.,243.0,243.0,0.0,1670990828.8588526
1st and William,110.0,0.0,110.0,1670994427.377069
Library Lane,744.0,57.0,687.0,1670994427.377069
Maynard,791.0,90.0,701.0,1670994427.377069
Forest Garage,853.0,167.0,686.0,1670994427.377069
Liberty Square (Tally Hall),540.0,63.0,477.0,1670994427.377069
Ann Ashley,811.0,38.0,773.0,1670994427.377069
South Ashley (Kline Lot),143.0,8.0,135.0,1670994427.377069
4th & William,960.0,63.0,897.0,1670994427.377069
4th & Wash.,270.0,59.0,211.0,1670994427.377069
1st & Wash.,243.0,243.0,0.0,1670994427.377069
1st and William,110.0,0.0,110.0,1670998028.1537373
Library Lane,744.0,57.0,687.0,1670998028.1537373
Maynard,791.0,90.0,701.0,1670998028.1537373
Forest Garage,853.0,167.0,686.0,1670998028.1537373
Liberty Square (Tally Hall),540.0,63.0,477.0,1670998028.1537373
Ann Ashley,811.0,38.0,773.0,1670998028.1537373
South Ashley (Kline Lot),143.0,8.0,135.0,1670998028.1537373
4th & William,960.0,63.0,897.0,1670998028.1537373
4th & Wash.,270.0,59.0,211.0,1670998028.1537373
1st & Wash.,243.0,243.0,0.0,1670998028.1537373
1st and William,110.0,0.0,110.0,1671001627.2060368
Library Lane,744.0,57.0,687.0,1671001627.2060368
Maynard,791.0,90.0,701.0,1671001627.2060368
Forest Garage,853.0,167.0,686.0,1671001627.2060368
Liberty Square (Tally Hall),540.0,63.0,477.0,1671001627.2060368
Ann Ashley,811.0,38.0,773.0,1671001627.2060368
South Ashley (Kline Lot),143.0,8.0,135.0,1671001627.2060368
4th & William,960.0,63.0,897.0,1671001627.2060368
4th & Wash.,270.0,59.0,211.0,1671001627.2060368
1st & Wash.,243.0,243.0,0.0,1671001627.2060368
1st and William,110.0,0.0,110.0,1671005232.9295018
Library Lane,744.0,56.0,688.0,1671005232.9295018
Maynard,791.0,79.0,712.0,1671005232.9295018
Forest Garage,853.0,159.0,694.0,1671005232.9295018
Liberty Square (Tally Hall),540.0,51.0,489.0,1671005232.9295018
Ann Ashley,811.0,25.0,786.0,1671005232.9295018
South Ashley (Kline Lot),143.0,1.0,142.0,1671005232.9295018
4th & William,960.0,58.0,902.0,1671005232.9295018
4th & Wash.,270.0,51.0,219.0,1671005232.9295018
1st & Wash.,243.0,243.0,0.0,1671005232.9295018
1st and William,110.0,0.0,110.0,1671008829.648616
Library Lane,744.0,56.0,688.0,1671008829.648616
Maynard,791.0,79.0,712.0,1671008829.648616
Forest Garage,853.0,159.0,694.0,1671008829.648616
Liberty Square (Tally Hall),540.0,51.0,489.0,1671008829.648616
Ann Ashley,811.0,25.0,786.0,1671008829.648616
South Ashley (Kline Lot),143.0,1.0,142.0,1671008829.648616
4th & William,960.0,58.0,902.0,1671008829.648616
4th & Wash.,270.0,51.0,219.0,1671008829.648616
1st & Wash.,243.0,243.0,0.0,1671008829.648616
1st and William,110.0,0.0,110.0,1671012427.2100115
Library Lane,744.0,56.0,688.0,1671012427.2100115
Maynard,791.0,79.0,712.0,1671012427.2100115
Forest Garage,853.0,159.0,694.0,1671012427.2100115
Liberty Square (Tally Hall),540.0,51.0,489.0,1671012427.2100115
Ann Ashley,811.0,25.0,786.0,1671012427.2100115
South Ashley (Kline Lot),143.0,1.0,142.0,1671012427.2100115
4th & William,960.0,58.0,902.0,1671012427.2100115
4th & Wash.,270.0,51.0,219.0,1671012427.2100115
1st & Wash.,243.0,243.0,0.0,1671012427.2100115
1st and William,110.0,0.0,110.0,1671016028.1729627
Library Lane,744.0,58.0,686.0,1671016028.1729627
Maynard,791.0,73.0,718.0,1671016028.1729627
Forest Garage,853.0,153.0,700.0,1671016028.1729627
Liberty Square (Tally Hall),540.0,52.0,488.0,1671016028.1729627
Ann Ashley,811.0,40.0,771.0,1671016028.1729627
South Ashley (Kline Lot),143.0,0.0,143.0,1671016028.1729627
4th & William,960.0,57.0,903.0,1671016028.1729627
4th & Wash.,270.0,48.0,222.0,1671016028.1729627
1st & Wash.,243.0,243.0,0.0,1671016028.1729627
1st and William,110.0,0.0,110.0,1671019629.4112284
Library Lane,744.0,58.0,686.0,1671019629.4112284
Maynard,791.0,73.0,718.0,1671019629.4112284
Forest Garage,853.0,153.0,700.0,1671019629.4112284
Liberty Square (Tally Hall),540.0,52.0,488.0,1671019629.4112284
Ann Ashley,811.0,40.0,771.0,1671019629.4112284
South Ashley (Kline Lot),143.0,0.0,143.0,1671019629.4112284
4th & William,960.0,57.0,903.0,1671019629.4112284
4th & Wash.,270.0,48.0,222.0,1671019629.4112284
1st & Wash.,243.0,243.0,0.0,1671019629.4112284
1st and William,110.0,0.0,110.0,1671023229.1273408
Library Lane,744.0,58.0,686.0,1671023229.1273408
Maynard,791.0,73.0,718.0,1671023229.1273408
Forest Garage,853.0,153.0,700.0,1671023229.1273408
Liberty Square (Tally Hall),540.0,52.0,488.0,1671023229.1273408
Ann Ashley,811.0,40.0,771.0,1671023229.1273408
South Ashley (Kline Lot),143.0,0.0,143.0,1671023229.1273408
4th & William,960.0,57.0,903.0,1671023229.1273408
4th & Wash.,270.0,48.0,222.0,1671023229.1273408
1st & Wash.,243.0,243.0,0.0,1671023229.1273408
1st and William,110.0,0.0,110.0,1671026826.0760875
Library Lane,744.0,58.0,686.0,1671026826.0760875
Maynard,791.0,73.0,718.0,1671026826.0760875
Forest Garage,853.0,153.0,700.0,1671026826.0760875
Liberty Square (Tally Hall),540.0,52.0,488.0,1671026826.0760875
Ann Ashley,811.0,40.0,771.0,1671026826.0760875
South Ashley (Kline Lot),143.0,0.0,143.0,1671026826.0760875
4th & William,960.0,57.0,903.0,1671026826.0760875
4th & Wash.,270.0,48.0,222.0,1671026826.0760875
1st & Wash.,243.0,243.0,0.0,1671026826.0760875
1st and William,110.0,0.0,110.0,1671030429.6486747
Library Lane,744.0,168.0,576.0,1671030429.6486747
Maynard,791.0,278.0,513.0,1671030429.6486747
Forest Garage,853.0,385.0,468.0,1671030429.6486747
Liberty Square (Tally Hall),540.0,215.0,325.0,1671030429.6486747
Ann Ashley,811.0,364.0,447.0,1671030429.6486747
South Ashley (Kline Lot),143.0,30.0,113.0,1671030429.6486747
4th & William,960.0,209.0,751.0,1671030429.6486747
4th & Wash.,270.0,161.0,109.0,1671030429.6486747
1st & Wash.,243.0,96.0,147.0,1671030429.6486747
1st and William,110.0,0.0,110.0,1671034028.9040196
Library Lane,744.0,168.0,576.0,1671034028.9040196
Maynard,791.0,278.0,513.0,1671034028.9040196
Forest Garage,853.0,385.0,468.0,1671034028.9040196
Liberty Square (Tally Hall),540.0,215.0,325.0,1671034028.9040196
Ann Ashley,811.0,364.0,447.0,1671034028.9040196
South Ashley (Kline Lot),143.0,30.0,113.0,1671034028.9040196
4th & William,960.0,209.0,751.0,1671034028.9040196
4th & Wash.,270.0,161.0,109.0,1671034028.9040196
1st & Wash.,243.0,96.0,147.0,1671034028.9040196
1st and William,110.0,0.0,110.0,1671037631.1452634
Library Lane,744.0,168.0,576.0,1671037631.1452634
Maynard,791.0,278.0,513.0,1671037631.1452634
Forest Garage,853.0,385.0,468.0,1671037631.1452634
Liberty Square (Tally Hall),540.0,215.0,325.0,1671037631.1452634
Ann Ashley,811.0,364.0,447.0,1671037631.1452634
South Ashley (Kline Lot),143.0,30.0,113.0,1671037631.1452634
4th & William,960.0,209.0,751.0,1671037631.1452634
4th & Wash.,270.0,161.0,109.0,1671037631.1452634
1st & Wash.,243.0,96.0,147.0,1671037631.1452634
1st and William,110.0,0.0,110.0,1671041228.289602
Library Lane,744.0,168.0,576.0,1671041228.289602
Maynard,791.0,278.0,513.0,1671041228.289602
Forest Garage,853.0,385.0,468.0,1671041228.289602
Liberty Square (Tally Hall),540.0,215.0,325.0,1671041228.289602
Ann Ashley,811.0,364.0,447.0,1671041228.289602
South Ashley (Kline Lot),143.0,30.0,113.0,1671041228.289602
4th & William,960.0,209.0,751.0,1671041228.289602
4th & Wash.,270.0,161.0,109.0,1671041228.289602
1st & Wash.,243.0,96.0,147.0,1671041228.289602
1st and William,110.0,0.0,110.0,1671044829.2317505
Library Lane,744.0,168.0,576.0,1671044829.2317505
Maynard,791.0,278.0,513.0,1671044829.2317505
Forest Garage,853.0,385.0,468.0,1671044829.2317505
Liberty Square (Tally Hall),540.0,215.0,325.0,1671044829.2317505
Ann Ashley,811.0,364.0,447.0,1671044829.2317505
South Ashley (Kline Lot),143.0,30.0,113.0,1671044829.2317505
4th & William,960.0,209.0,751.0,1671044829.2317505
4th & Wash.,270.0,161.0,109.0,1671044829.2317505
1st & Wash.,243.0,96.0,147.0,1671044829.2317505
1st and William,110.0,0.0,110.0,1671048428.3829157
Library Lane,744.0,191.0,553.0,1671048428.3829157
Maynard,791.0,424.0,367.0,1671048428.3829157
Forest Garage,853.0,395.0,458.0,1671048428.3829157
Liberty Square (Tally Hall),540.0,247.0,293.0,1671048428.3829157
Ann Ashley,811.0,372.0,439.0,1671048428.3829157
South Ashley (Kline Lot),143.0,75.0,68.0,1671048428.3829157
4th & William,960.0,267.0,693.0,1671048428.3829157
4th & Wash.,270.0,210.0,60.0,1671048428.3829157
1st & Wash.,243.0,89.0,154.0,1671048428.3829157
1st and William,110.0,0.0,110.0,1671052028.515491
